Abbott Laboratories	20482	001078
Acer Inc		
Adidas		
Affymetrix	83616	62990
Alcatel	77604	101352
Altera	75577	014324
Amazon	84788	64768
Amgen	14008	1602
Apple	14593	1690
AstraZeneca PLC	79363	28272
AT&T	66093	9899
Azul Systems		
Barr Pharmaceuticals	11415	013365
Bayer's Healthcare unit	17209	100080
BenQ Corp		
BenQ Mobile Germany		
Blockbuster	87134	122514
Boehringer Ingelheim Pharmaceuticals		
Boston Scientific	77605	25279
Broadcom	85963	66708
Burst.com	88723	25817
Cablevision Systems Corp	68857	012485
Callaway	77366	24978
Chicago Board Options Exchange		
Computer Leasco		
Creative Technology	78775	25773
Discovery	90805	164296
Document Security Systems Inc.	10253	012200
Eastman Kodak Co.	11754	004194
Eatoni Ergonomics Inc		
eBay	86356	114524
Elan Microelectronics		
Elpida Memory Inc.		
European Central Bank		
Fortune Brands	10225	1408
General Electric Co.	12060	005047
GeoPharma	88801	141037
G&G Ninestar Image		
Gibson Guitar Corp.		
Good Technology		
Google Inc	90319	160329
Google Inc.	90319	160329
Guidant	81126	031166
Hannstar Display Corp.		
Harmonix Music Systems	76226	
Hewlett Packard	27828	005606
Hewlett-Packard	27828	5606
Hillcrest Laboratories Inc.		
Hitachi	64231	005650
HTC Corp.		
IBM	12490	006066
IDT	83275	62396
Illumina Inc.	88446	138205
Imation	83602	063138
Inkcycle		
Intel	59328	006008
Intellectual Ventures LLC		
InterDigital Communications	45306	006100
International Securities Exchange	90613	160811
Intertainer Inc.		
Interval Licensing LLC		
Johnson & Johnson	22111	006266
Kik Interactive Inc.		
Kraft Foods Inc.	89006	142953
Kyphon	89390	147644
Lexmark International Inc.	82643	061552
LG Electronics		
Lonestar Inventions LP		
Lucent Technologies	83332	062599
MagnaChip Semiconductor	12629	233491
Matsushita Eletric Industrial Co.	53727	
Medinol		
Medtonic	60097	007228
MicroJet Technology Co.		
Microsoft	10107	012141
Mitel Networks Corp.	93354	174531
Mitsubishi Electric Corp.		
Mitsubishi Heavy Industries Ltd.		
Motorola Inc.	22779	007585
Motorola Mobility Inc.	12456	186106
Nestle SA		
Net2Phone-IDT Corp	87082	122358
Netac		
Netfilx	89393	147579
Netflix	89393	147579
Nike	57665	7906
Nintendo		
Nokia	87128	23671
Nortel	58640	7980
Northeastern University		
Novartis	88233	101310
Novatis AG	88233	101310
Novo Nordisk	63263	8020
NTP		
Nvidia	86580	117768
Nvidia Corp.	86580	117768
Oracle Corp.	10104	012142
Palm	87800	132502
Paltalk Holdings		
Pfizer	21936	008530
Pioneer	59424	008594
Pixelplus	91026	165740
PNY Technologies		
Procter & Gamble	18163	8762
Qualcomm	77178	24800
Rambus	84827	64766
Ranbaxy Laboratories		
Registrar Systems		
Research In Motion	86745	65986
R.J. Reynolds	14218	
Roche		
Salesforce.com Inc.	90215	157855
Samsung		
SanDisk Corp	82618	61513
Sankyo-TECO Electric and Machinery Co		
Sara Lee Corp.	22840	
Schering-Plough	25013	9459
Seagate Technology LLC	89641	150937
Semiconductor Manufacturing Internation		
Sharp		
Sharp Corp.		
ShoreTel Inc.	92207	177127
Shutterfly	91486	175376
Skyhook Wireless Inc.		
Spansion	91029	163772
Sprint Nextel Corp	39087	10984
Star Scientific	87816	13288
STEC Inc.	88646	134384
STMicroelectronics	81132	031142
Sun Microsystems	10078	12136
Symantec Corp.	75607	015855
Taiwan Semiconductor Manufacturing		
Tate & Lyle		
Tefelon AB L.M. Ericsson	33452	004439
Teva Pharmaceutical Industries Ltd	75652	014538
TiVo Inc.	87255	124394
TOSHIBA	76559	10622
Transmeta	88813	141044
University of Iowa		
University of Washington		
Verizon Communications	65875	2136
Verizon Wireless	65875	2136
Visto		
Vizio Inc.		
Vonage Holdings	91237	166562
Wal-Mart	55976	011259
Whirlpool	25419	011465
Wuxi-Sony		
Wyeth	15667	1478
Xerox Corp.	27983	011636
Yahoo Inc.	83435	062634
Yoshihiko Okamoto		
